اسم_الحضانة,رقم_التليفون_الأول,رقم_التليفون_الثاني,البريد_الإلكتروني,الوصف,الرسوم,المحافظة,المدينة,المنطقة,صورة_الحضانة,الموقع_GPS,العنوان,رابط_الصفحة,الدوام,النوع
الكنغر Kangaroonursery,0796884409,,info@kangaroonursery.com,العمر: من 5 أشهر إلى 4 سنوات. اللغات: العربية والإنجليزية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,أم أذينة,,,أم أذينة، خلف أبراج عمّان، شارع الدمام، مبنى 16,حضانة الكنغر,07:30 صباحاً إلى 05:00 مساءً,مونتيسوري
خطوة النجاح الأردنية Stepping Stone Nursery Jordan,0797191746,,steppingstonepreschool.amman@gmail.com,العمر: من 3 شهور إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,أم أذينة,,,أم أذينة، شارع أريتريا، فيلا رقم 50,حضانة خطوة النجاح الاردنية,الفترة الأولى: 8:00 ص - 2:00 م<br> الفترة الثانية: 2:00 م - 5:00 م,وطني
Toddler Time Pre-School Learning Center,065523087,,toddlertimepreschool@hotmail.com,العمر: من 3 شهور إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,أم السماق,,,أم السماق، بالقرب من مدرسة الدر المنثور,Toddler Time Pre-School Learning Center,08:00 صباحاً إلى 04:00 مساءً,غير متوفر
Bright Beginnings - البدايات المشرقة,0777809070,,bright.beginnings2018@hotmail.com,العمر: من 70 يوم حتى 4 سنوات. اللغات: الإنجليزية والعربية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,أم أذينة,,,أم أذينة، شارع الدمام، فيلا 46,Bright Beginnings - البدايات المشرقة,07:30 صباحاً إلى 04:30 مساءً,دولي، لغات
ورود وفل النموذجية,0796107016,,mabbadi2005@gmail.com,العمر: من شهرين حتى 4.8 سنوات. اللغات: العربية والإنجليزية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,البيادر (أبو السوس),,,البيادر، أبو السوس، إسكان الأمانة، مقابل مدرسة قرطبة,حضانة ورد وفل النموذجية,07:00 صباحاً إلى 06:00 مساءً,منتسوري - دولي
الخيوط اللامعة Bright Rays Preschool,0795241103,,brightrays.preschool@yahoo.com,الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,بيادر وادي السير,,,بيادر وادي السير، منطقة أبو السوس، إسكان الأمانة، مقابل مدرسة قرطبة,Brightrayspreschool,07:00 صباحاً إلى 05:00 مساءً,غير متوفر
Sunbeam nursery,0795787863,,sunbeam_nursery@hotmail.com,العمر: من 3 شهور إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,بيادر وادي السير,,,بيادر وادي السير، الرونق، شارع أبو عبدالله الرشيدي,sunbeamnursery,07:00 صباحاً إلى 05:00 مساءً,غير متوفر
أرض المرح,0796775047,0777974275,غير متوفر,العمر: من شهرين إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,بيادر وادي السير,,,بيادر وادي السير,حضانة أرض المرح,غير متوفر,غير متوفر
جمعية وادي السير النسائية,065814372,,غير متوفر,,غير متوفر,عمان,,بيادر وادي السير,,,بيادر وادي السير,غير متوفر,غير متوفر,وطني
جمعية أنوار الهدى الإسلامية,065816721,,غير متوفر,,غير متوفر,عمان,,بيادر وادي السير,,,بيادر وادي السير,جمعية أنوار الهدى الإسلامية,غير متوفر,وطني
مدارس المنهل العالمية,غير متوفر,,almanhalonline@yahoo.com,,غير متوفر,عمان,,وادي السير,,,وادي السير,Al - Manhal International School Nursery,غير متوفر,وطني
البيان,غير متوفر,,غير متوفر,,غير متوفر,عمان,,وادي السير,,,وادي السير,غير متوفر,غير متوفر,وطني
الجاردنز الحديثة Modern Garden preschool,0790418745,,غير متوفر,العمر: من 3 شهور إلى 4 سنوات. اللغات: العربية والإنجليزية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,تلاع العلي,,,تلاع العلي، شارع غازي عربيات، مقابل مسجد الزميلي,حضانة الجاردنز الحديثة,07:00 صباحاً إلى 05:00 مساءً,مونتيسوري
Early Bird Nursery,0797098100,,earlybird-jo@hotmail.com,العمر: من 3 شهور إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,تلاع العلي,,,تلاع العلي، قبل سوق السلطان، شارع عبد الحليم عباس، عمارة رقم 44,EarlyBirdsNurseryAndPlaySchool,07:30 صباحاً إلى 05:00 مساءً,غير متوفر
الدوحة النموذجية,0798942783,,dohanursery2@gmail.com,العمر: من 70 يوم إلى 5 سنوات. اللغات: الإنجليزية والعربية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,تلاع العلي (حي البركة),,,تلاع العلي، حي البركة، شارع علي الأزدي,حضانة الدوحة النموذجية,07:00 صباحاً إلى 05:30 مساءً,وطني - مونتيسوري
الضحكة الرائعة Super Smile Preschool,0792838831,,غير متوفر,العمر: من شهرين حتى 4.8 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,تلاع العلي,,,تلاع العلي، بجانب صالات النيروز,حضانة الضحكة الرائعة,07:00 صباحاً إلى 06:00 مساءً,غير متوفر
وردي و أزرق Pink and Blue Nursery,0796861634,,em99a@yahoo.com,العمر: من شهرين إلى 4 سنوات. اللغات: العربية والإنجليزية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,تلاع العلي,,,تلاع العلي، ش خليل السالم، مقابل أسواق السلطان، بجانب صيدلية استر أورانج,حضانة وردي و أزرق,07:30 صباحاً إلى 05:15 مساءً,منتسوري
كيتي كيدز Kitty Kids Nursery,0796039593,,info@kittykids.website,العمر: من شهرين إلى 4 سنوات. اللغات: الإنجليزية والعربية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,تلاع العلي,,,إشارات العساف، دخلة البشيتي، باتجاه سوق السلطان، شارع ساري بن كنانة، عمارة رقم 3 الطابق الأرضي,حضانة كيتي كيدز,08:00 صباحاً إلى 05:00 مساءً,لغات
حضانة فن الرعاية - Art Care Nursery,0795828292,,info@artcarenursery.com,اللغات: العربية، الإنجليزية. سن القبول: من 70 يوم إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شارع مكة,,,شارع مكة، خلف اوتو مول وأبراج الحجاز، بناية ١٥.,https://artcarenursery.com/,07:30 صباحًا - 05:00 مساءً,منتسوري
حضانة الحديقة الصغيرة,0792290616,,,اللغات: الإنجليزية، العربية. سن القبول: من شهرين إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شارع مكة,,,شارع مكة، دخلة مجمع حمداني ٣، بالقرب من دوار الكيلو و روان كيك خلدا.,حضانة الحديقة الصغيرة Little garden Preschool & Nursery,07:30 صباحًا - 05:30 مساءً,مونتيسوري - لغات
حضانة كوكب الأطفال,0795112721,,littleangle_12_5@hotmail.com,الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شارع مكة,,,شارع مكة، خلف أبراج الحجاز.,حضانة كوكب الاطفال,07:00 صباحًا - 05:00 مساءً,غير متوفر
روضة و حضانة المبتدئ الصغير,0799176465,,,اللغات: الإنجليزية، الفرنسية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شارع مكة,,,شارع مكة، خلف صيدليه دواكم، دخله بيجو سابقًا.,روضة و حضانة المبتدئ الصغير,07:30 صباحًا - 05:00 صباحًا,مونتيسوري - لغات
حضانة ليان وبانا,0789585053,,,سن القبول: من 70 يوم إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شفا بدران حي الكوم,,,شفا بدران، حي الكوم.,حضانة ليان وبانا,06:30 صباحًا - 05:30 مساءً,غير متوفر
حضانة الطفل الهادئ النموذجية,0775236121,,,اللغات: العربية. سن القبول: من شهرين إلى 4 سنوات ونصف. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شفا بدران,,,شفا بدران، خلف سامح مول.,حضانة الطفل الهادي النموذجية Hushbaby Daycare,07:00 صباحًا - 05:00 مساءً,غير متوفر
Creativity zone nursery,0792455545,,creativityzone.jo@gmail.com,اللغات: العربية، الإنجليزية. سن القبول: من 3 أشهر إلى 5 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شفا بدران طاب كراع,,,شفا بدران، طاب كراع، خلف المؤسسة العسكرية، فيلا رقم ٢٢.,Creativity zone nursery حضانة منطقة الإبداع,07:00 صباحًا - 05:00 مساءً,منتسوري - دولي
حضانة بيت جدو,0795884501,,esra2_119@hotmail.com,سن القبول: من حديث الولادة إلى 5 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شفا بدران,,,شفا بدران، بعد دوا البحرية، بالقرب من أكاديمية الفيحاء.,HappinessNursery1,07:00 صباحًا - 05:00 مساءً,مونتسوري
حضانة روح البراءة,0789102895,,bakooor05@gmail.com,اللغات: الإنجليزية، العربية. سن القبول: من 70 يوم إلى 4 سنوات و8 أشهر. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شفا بدران الكوم,,,شفا بدران، الكوم، خلف مدارس السابلة.,حضانة روح البراءة,07:00 صباحًا - 05:00 مساءً,مونتيسوري - دولي
حضانة ABC,065233190 - 0796567788,,rima.sajjan@gmail.com,الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شفا بدران,,,شفا بدران.,www.a-b-c-childcare.com,07:00 صباحًا - 05:00 مساءً,غير متوفر
حضانة أرانب صغيرة,0790685604,,fdabunemeh@yahoo.com,اللغات: الإنجليزية، العربية. سن القبول: من شهرين إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شفا بدران مرج الفرس,,,شفا بدران، مرج الفرس، بالقرب من دوار الترخيص وشرق قوات الدرك.,Little-Bunnies-Nursery,07:00 صباحًا - 05:00 مساءً,مونتيسوري - لغات
Kidz Zone Nursery,0790771045,,,سن القبول: من 6 شهور إلى 5 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شفا بدران,,,شفا بدران، بجانب أكاديمية ريماس.,Kidz-Zone-Nursery,07:00 صباحًا - 05:00 مساءً,مونتيسوري
حضانة جنى و نايا للأطفال,0799151436,,,سن القبول: من شهرين إلى 4 أو 5 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شفا بدران,,,شفا بدران، قرب أسواق حبوب.,حضانة جنى و نايا للأطفال,07:00 صباحًا - 05:00 مساءً,غير متوفر
حضانة ميرة وشامان,0790617683,,,سن القبول: من شهر إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شفا بدران طاب كراع,,,شفا بدران، طاب كراع، قرب المؤسسة الاستهلاكية العسكرية، دخلة خضرة السلطان.,حضانة ميرة وشامان,07:00 صباحًا - 04:00 عصرًا,غير متوفر
حضانة منزل الأطفال,0778090123 - 0798892321,,info@kiddies-house.com,اللغات: الروسية، الإنجليزية، العربية. سن القبول: من 40 يوم. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شفا بدران,,,شفا بدران، بالقرب من الجامعة التطبيقية.,www.kiddies-house.com,06:45 صباحًا - 07:30 مساءً,منتسوري - لغات
حضانة أولاد و ألعاب,0798366466,,,الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شفا بدران حي الكوم,,,شفا بدران، حي الكوم، خلف ارجان مول.,حضانة اولاد و العاب,07:00 صباحًا - 05:00 مساءً,مونتيسوري
حضانة الخطوة الأولى للمستقبل,0797515173,,,سن القبول: من 3 شهور إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شفا بدران طاب كراع,,,شفا بدران، طاب كراع، خلف المؤسسة العسكرية.,حضانة الخطوة الأُولى للمستقبل,07:00 صباحًا - 05:00 مساءً,غير متوفر
حضانة ماما رولا,065240223,,,سن القبول: من 3 أشهر إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,شفا بدران,,,شفا بدران، بجانب السيفوي.,https://web.facebook.com/MRN2018/,07:00 صباحًا - 05:00 مساءً,وطني
حضانة جمعية منار الخلدين,065105675,,,حضانة وطني.,غير متوفر,عمان,,شفا بدران الكوم,,,شفا بدران، الكوم، بالقرب من مول الأراجيل، مسجد الداوود.,غير متوفر,غير متوفر,وطني
حضانة القلب الطيب النموذجية,0790802162,,altyatly2@gmail.com,اللغات: العربية، الإنجليزية. سن القبول: من شهرين إلى 5 سنوات. الإجازة الأسبوعية: الجمعة. يوجد نظام ساعات إضافية.,غير متوفر,عمان,,دوار الكمالية,,,دوار الكمالية، شارع سهيل بن رافع.,حضانة القلب الطيب النموذجية,07:00 صباحًا - 05:00 مساءً,منتسوري / دولي
الطفل الظريف,0799437223,,saj_shalabi@yahoo.com,اللغات: العربية، الإنجليزية. سن القبول: من 3 شهور إلى 5 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,الصويلح الحي الشرقي,,,الصويلح، الحي الشرقي، بالقرب من ديوان شموط.,غير متوفر,07:00 صباحًا - 05:00 مساءً,غير متوفر
حضانة لولي الصغيرة,0796015503,,,سن القبول: من شهر إلى 5 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,صويلح,,,صويلح، خلف فندق ريو الأردن.,حضانة لولي الصغيره,07:00 صباحًا - 05:00 مساءً,غير متوفر
حضانة جمعية العطاء,065340491,,,حضانة وطني.,غير متوفر,عمان,,صويلح الحي الشرقي,,,صويلح، الحي الشرقي، عمارة رقم 8.,غير متوفر,غير متوفر,وطني
حضانة مدرسة البكالوريا,غير متوفر,,,حضانة وطني.,غير متوفر,عمان,,صويلح,,,صويلح.,غير متوفر,غير متوفر,وطني
حضانة و روضة أكاديمية الأطفال الرائعون,0791590466,,nabutalib@hotmail.com,اللغات: العربية، الإنجليزية، الفرنسية. سن القبول: من سنتين إلى 5 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,ضاحية الأمير راشد,,,ضاحية الأمير راشد، خلف نادي السيارات الملكي.,winderkids,08:00 صباحًا - 05:00 مساءً,لغات
حضانة ميلكي تيث,0799585086,,info@milkyteeth.com,اللغات: العربية، الإنجليزية. سن القبول: من 70 يوم إلى 5 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,ضاحية الأمير راشد,,,ضاحية الأمير راشد، خلف شارع عبدالله غوشة، شارع حسن العطار، فيلا رقم 3.,حضانة ميلكي تيث,07:30 صباحًا - 06:00 مساءً,منتسوري
حضانة دنيا المرح,0787700120,,alfahoum@gmail.com,سن القبول: من 3 شهور إلى 4 سنوات. الإجازة الأسبوعية: الجمعة. الدوام يوم السبت: 07:00 صباحًا إلى 03:00 مساءً.,تبدأ من 70 دينار,عمان,,ضاحية الاستقلال,,,ضاحية الاستقلال، الشارع المقابل لمسجد أبوبكر، بعد 200 متر.,حضانه دنيا المرح,06:00 صباحًا - 05:00 مساءً,منتسوري - منهاج تعليمي
حضانة راما ولما,0798602747,,,اللغات: العربية، الإنجليزية. سن القبول: من شهرين إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,ضاحية الأمير حسن,,,ضاحية الأمير حسن، دخلة مطعم الهنيني، أول دخلة على اليمين.,حضانة راما ولما,06:30 صباحًا - 06:00 مساءً,غير متوفر
حضانة عالم السماسم,0798662146,,m.mezher1978@gmail.com,سن القبول: من شهرين إلى 5 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,ضاحية الحاج حسن,,,ضاحية الحاج حسن، بجانب حديقة الصخرة المشرفة، شارع رفيق سلوم، بيت رقم ١٥.,حضانة عالم السماسم,07:00 صباحًا - 04:00 مساءً,منتسوري
قصة الألعاب النموذجية,0797431211,,abeerkh77@gmail.com,اللغات: العربية - الإنجليزية. سن القبول: من 3 شهور إلى 5 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,ضاحية ارشيد,,,ضاحية ارشيد، بجانب مدارس المنهل.,قصة الألعاب النموذجية - Toy story,07:00 صباحًا - 05:00 مساءً,منتسوري
حضانة لارين - Lareen Nursery,0779365224,,brightstarsabm@yahoo.com,اللغات: الإنجليزية - العربية. سن القبول: من أشهر إلى 4 سنوات و8 شهور. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,ضاحية الرشيد,,,ضاحية الرشيد، خلف الجامعة الأردنية، قرب نادي سلطنة عمان.,حضانة لارين,07:00 صباحًا - 05:30 مساءً,منتسوري - دولي - لغات
حضانة الما و آيلا,0798683815,,himmouhana@gmail.com,اللغات: الإنجليزية - العربية. سن القبول: من 3 أشهر إلى 4 سنوات ونصف. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,ضاحية الرشيد,,,ضاحية الرشيد، شارع محمد كامل عودة.,حضانة الما و آيلا,07:00 صباحًا - 05:00 مساءً,مونتيسوري - لغات
حضانة بيت تيتا,0795088887 - 065160465,,,سن القبول: من شهرين حتى 4 سنوات و8 شهور. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,ضاحية الرشيد,,,ضاحية الرشيد، جانب مخفر أمن ضاحية الرشيد وفندق حرير، مبنى 29.,حضانة بيت تيتا,06:45 صباحًا - 06:00 مساءً,مناهج تعليمية
حضانة عالم المرح,0785550522 - 0795965697,,totodudien@yahoo.com,اللغات: العربية - الإنجليزية. سن القبول: من شهرين إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,ضاحية الرشيد,,,ضاحية الرشيد، بالقرب من ماي ماركت، خلف مجمع أبو الحاج التجاري، بجانب جسر المشاة لجريدة الدستور.,حضانة عالم المرح,غير متوفر,منتسوري - لغات
حضانة جدو علي,0799758841,,lamiaqasim.lq@gmail.com,اللغات: الإنجليزية - العربية. سن القبول: من 70 يومًا إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,ضاحية الرشيد,,,ضاحية الرشيد، خلف صيدلية الضواحي، شارع ربيعة الحارثي، بناء رقم 6.,حضانة جدو علي,09:00 صباحًا - 05:00 مساءً,منتسوري - لغات
حضانة خواطر,0798884480 - 0790720311,,khawater@yahoo.com,اللغات: الإنجليزية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,ضاحية الرشيد الصديق,,,ضاحية الرشيد، الصديق، ش. محمد سليمان الطراونة.,Khawaterjo,07:00 صباحًا - 05:00 مساءً,لغات
حضانة Mini One,0797047879,,,سن القبول: من شهر إلى 5 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,ضاحية الياسمين,,,ضاحية الياسمين، خلف الديري ستورز، عمارة 26.,minione,06:00 صباحًا - 06:00 مساءً,غير متوفر
حضانة وجه القمر,0790961543,,,سن القبول: من شهرين لغاية 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,ضاحية الياسمين,,,ضاحية الياسمين، خلف كارفور.,حضانة وجه القمر,07:00 صباحًا - 06:00 مساءً,غير متوفر
حضانة ميرا والمى,0795489505,,nadia_abobrayou@yahoo.com,اللغات: عربي - إنجليزي. سن القبول: من شهرين. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,ضاحية الياسمين,,,ضاحية الياسمين، شارع فايزه المعارجه رقم 11.,حضانة ميرا والمى Meera & Alma Nursery,07:00 صباحًا - 06:00 مساءً,منتسوري
حضانة أكاديمية الازدهار,0797456069,,alzdeharkindergarten55@yahoo.com,اللغات: اللغة الإنجليزية. سن القبول: من شهر إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,طبربور,,,طبربور، خلف حلويات النجمة، عمارة رقم 5.,حضانة أكاديمية الازدهار,07:00 صباحًا - 05:00 مساءً,منتسوري
حضانة كيدو - Kidoo Nursery,0797676000,,Modern2128@yahoo.com,اللغات: اللغة الإنجليزية / اللغة العربية. سن القبول: من سنتين إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,طبربور,,,طبربور، خلف الجامعة العربية المفتوحة، شارع معاذ بن عمرو، فيلا رقم 33.,حضانة كيدو - Kidoo Nursery,07:00 صباحًا - 05:00 مساءً,منتسوري
حضانة ضحكة و بسمة,0790483814 - 0785481779,,mos276@yahoo.com,اللغات: الإنجليزية - العربية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,طبربور,,,طبربور، دوار المشاغل، دخلة الموسيقيات المسلحة.,dehkabasmanursery,07:00 صباحًا - 05:00 مساءً,لغات
حضانة لف اند كير,0795515837,,,سن القبول: من شهر حتى 5 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,طبربور أبو عليا,,,طبربور، أبو عليا، بين كلية الشهيد فيصل وأسواق الدرة.,Love-Care-Nursery-Day-Care,07:00 صباحًا - 05:00 مساءً,غير متوفر
حضانة براعم النرجس,0792909683,,,الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,طبربور,,,طبربور، شارع زهير بن أبي سلمى.,حضانة براعم النرجس,07:00 صباحًا - 05:00 مساءً,منتسوري
حضانة النحلة جولي,0796897303 - 0782082727,,,اللغات: اللغة العربية. سن القبول: من شهرين إلى 4 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,طبربور,,,طبربور، بجانب جامعة العلوم الإسلامية، مقابل بقالة البحتري.,JollyBeeNurseryandPreschool,07:00 صباحًا - 06:00 مساءً,غير متوفر
حضانة ينابيع الحب,0799754978,,,اللغات: الإنجليزية - العربية. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,طبربور,,,طبربور، إشارة منتزه النويجيس، خلف مطعم المحيط الكارفور، بجانب أكاديمية الميسان الدولية.,حضانة ينابيع الحب,07:00 صباحًا - 05:00 مساءً,لغات
حضانة فراشات الربيع,0772269874,,rosheamin@gmail.com,اللغات: الإنجليزية - العربية. سن القبول: من 3 شهور لـ 5 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,طبربور,,,طبربور، القيادة دوار الدبابة، إسكان الأمير هاشم.,حضانة فراشات الربيع,07:00 صباحًا - 05:00 مساءً,لغات
حضانة نعمة الله,0795105169,,omarfarhaneh@hotmail.com,اللغات: الإنجليزية - العربية. سن القبول: من شهر إلى 5 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,طبربور,,,طبربور، شارع العيزرية، خلف مطعم kfc.,حضانة نعمة الله,07:00 صباحًا - 05:00 مساءً,لغات - دولية
حضانة روح الفؤاد,0795291773,,,سن القبول: من 3 شهور إلى 4 سنوات و8 شهور. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,طبربور طارق,,,طبربور، طارق، قرب مخابز بسمان، بجانب مدارس الخضر للإناث.,حضانة روح الفؤاد,07:00 صباحًا - 05:00 مساءً,منتسوري
حضانة بسمان الحديثة,0796565918,,,الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,طبربور,,,طبربور، بالقرب من إشارة طبربور الرئيسية، بجانب وزارة الصحة.,حضانة بسمان الحديثة,07:00 صباحًا - 06:00 مساءً,غير متوفر
حضانة هلا وغلا,0796418462,,,الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,طبربور أبو عليا,,,طبربور، أبو عليا، مقابل مطعم التوتنجي.,حضانة هلا وغلا,07:00 صباحًا - 05:00 مساءً,غير متوفر
حضانة رحيق الورد,0788893613,,,سن القبول: من شهر إلى 5 سنوات. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,طبربور,,,طبربور، قرب جامعة العلوم الإسلامية، مقابل كافيتيريا أسوار الجامعة.,حضانة رحيق الورد,07:00 صباحًا - 04:30 مساءً,منتسوري
حضانة النبات الحسن,0791326251,,,اللغات: الإنجليزية - العربية. سن القبول: من 70 يومًا لـ 4 سنوات ونصف. الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,طبربور الشهيد الشمالي,,,طبربور، الشهيد الشمالي، بالقرب من قرية الأطفال، مقابل الاتصالات الخاصة.,حضانة النبات الحسن,06:30 صباحًا - 06:00 مساءً,مونتيسوري - لغات
حضانة جنان الرحمن,0799072324,,,الإجازة الأسبوعية: الجمعة.,غير متوفر,عمان,,طبربور طارق,,,طبربور، طارق، خلف السهل الأخضر، بجانب جامع الفردوس.,حضانة-جنان-الرحمن-طبربور,غير متوفر,غير متوفر
حضانة بيسان وزين,0791331040,,,حضانة وطني. الدوام: 6:30 صباحًا - 6:00 مساءً.,غير متوفر,عمان,,طبربور حي الشهيد الجنوبي,,,طبربور، مقابل صالة ليالي الشرق، حي الشهيد الجنوبي، شارع ثويبة.,https://web.facebook.com/pg/bisanandzainnursery,06:30 صباحًا - 06:00 مساءً,وطني
حضانة بيت الميمة النموذجية,0796061820,,,حضانة وطني.,غير متوفر,عمان,,طبربور,,,طبربور.,https://web.facebook.com/groups/1434028953558734/,غير متوفر,وطني
حضانة المغامرون الصغار - Adventurer Kids,0796288831,,info@adveturerkids.com,حضانة منتسوري.,غير متوفر,عمان,,طريق المطار حي الصحابة,,,طريق المطار، حي الصحابة، شارع جويبر العتيبي.,غير متوفر,07:30 صباحًا - 05:00 مساءً,منتسوري
حضانة سنابل الربيع النموذجيه,796268231,,,حضانة نموذجية في الكرك، منطقة البوابة الجنوبية,,الكرك,الكرك,البوابه الجنوبيه,,,,,,
حضانة التعليم الفعال,,,,حضانة تعليمية تقدم برامج مبسطة في منطقة اليوبيل,,عمان,اليوبيل,البيادر,,,,,,
شركة هيام العبسي واخواتها / حضانة البيادر الحديثة,796221095,,,حضانة حديثة تقع بجانب المتصرفية في البيادر,,عمان,اليوبيل,البيادر / الجندويل,,,بجانب المتصرفية,,,
حضانة و روضة رونق الموده,795964769,,,حضانة تقع مقابل النادي الأهلي في شارع خضر قردن,,عمان,اليوبيل,البيادر,,,ش خضر قردن / مقابل النادي الاهلي,,,
حضانة الضحكة الرائعة,792838831,,,حضانة تقدم بيئة مرحة للأطفال بجانب قاعة النيروز,,عمان,شمال عمان,التلاع العلي,,,بجانب قاعة النيروز,,,
حضانة بيت الحلوه للاطفال,799853333,,,حضانة تقع خلف مدارس الرأي في الجاردنز,,عمان,شمال عمان,الجاردنز,,,خلف مدارس الرأي عماره رقم 20,,,
حضانة كوخ الدب,782929569,,,حضانة تعليمية في الجبل الشمالي، الزرقاء,,الزرقاء,الجبل الشمالي,,,,شارع الملك عبد الله الثاني,,,
حضانة دانيه حسن للاطفال,796227688,,,حضانة تقع في حي بن عوف، الجبيهة,,عمان,شمال عمان,الجبيهة,,,حي بن عوف,,,
حضانة نور الجبيهه,797670971,,,حضانة تقع في بناية 32 مقابل مفروشات شهوان,,عمان,شمال عمان,الجبيهة,,,شارع مفلح اللوزي/بناية32/مقابل مفروشات شهوان,,,
حضانة ارض السكر,779508114,,,حضانة تقع مقابل جامعة العلوم التطبيقية,,عمان,شرق عمان,الجبيهة,,,شارع يوسف مبيضين/ مقابل جامعة العلوم التطبيقيه,,,
حضانة التوت الوردي,795333046,,,حضانة في ضاحية الرشيد، شارع مجاهد المحيسن,,عمان,شمال عمان,الجبيهة,,,ضاحية الرشيد/بناية/شارع مجاهد المحيسن24,,,
حضانة حجرة الاطفال الجميله,5555555,,,حضانة صغيرة في منطقة زويتينة,,عمان,شمال عمان,الجبيهها,,,م زويتينه,,,
حضانة الحمامي,5555,,,حضانة تقع في شارع الريان، أم زويتينة,,عمان,شمال عمان,الجبيهها,,,شارع الريان/ام زويتينه,,,
حضانة هند وشيماء,799058051,,,حضانة قريبة من جسر ياجوز وقرب بقالة H N,,عمان,شمال عمان,الجبيهها,,,قرب جسر ياجوز/قرب بقالة H N,,,
حضانة سالي وسلمى,5238494,,,حضانة تقع مقابل مدرسة الاحدث سابقاً,,عمان,شمال عمان,الجبيهه,,,مقابل الاحدث سابقا,,,
